fb_name,replacement
Rhondda Cynon Taff,"Rhondda, Cynon, Taff"
The Scottish Borders,Scottish Borders
The Vale of Glamorgan,Vale of Glamorgan
Perth and Kinross,Perthshire and Kinross
polygon_name,NA
Newcastle Upon Tyne,Newcastle upon Tyne
Bedford Borough,Bedfordshire
Isle of Anglesey,Anglesey
City of Kingston-upon-Hull,Kingston upon Hull
Dundee City,Dundee
City of Edinburgh,Edinburgh
City of Bristol,Bristol
Glasgow City,Glasgow
County of Herefordshire,Herefordshire
London,Greater London
Liverpool,NA
North East Lincolnshire,NA
Aberdeen City,Aberdeen